"word","frequency"
"dorato","13"
"capo","57"
"dettaglio","44"
"decorativo","15"
"influenza","35"
"sofisticato","36"
"scuro","11"
"culturale","17"
"riflettere","58"
"luminoso","10"
"tradizionale","37"
"elegante","60"
"tocco","66"
"ambiente","28"
"eleganza","61"
"elemento","56"
"cultura","20"
"abito","82"
"abbigliamento","39"
"materiale","79"
"suggerire","28"
"donna","75"
"taglio","27"
"tradizione","52"
"descrivere","29"
"ispirare","55"
"color","15"
"lungo","41"
"manica","37"
"stile","48"
"design","85"
"manico","33"
"indossare","79"
"radice","26"
"verde","25"
"raffinatezza","24"
"colore","71"
"storico","15"
"ricamo","19"
"indicare","10"
"ampio","15"
"aggiungere","55"
"etnico","28"
"seta","34"
"scollatura","37"
"ore lo","14"
"romantico","14"
"blu","22"
"orlo","12"
"presentare","15"
"conferire","50"
"lusso","22"
"estetica","13"
"abire","58"
"aria","13"
"glamour","29"
"tenere","10"
"rappresentare","44"
"cuore","13"
"classico","30"
"combinazione","22"
"contemporaneo","49"
"bianco","40"
"caratterizzare","12"
"contesto","56"
"globale","59"
"moda","90"
"utilizzato","14"
"indiano","10"
"raffinato","24"
"gonna","20"
"tipico","35"
"artigianale","11"
"cotone","25"
"gusto","11"
"floreale","25"
"rosso","16"
"interno","16"
"apprezzare","10"
"profondo","10"
"associare","20"
"uso","15"
"vintage","14"
"simbolo","11"
"look","28"
"stampa","12"
"richiamare","43"
"aderente","26"
"vestito","20"
"modernità","19"
"femminilità","23"
"interpretare","11"
"decorazione","14"
"seto","12"
"mix","29"
"sfondo","43"
"beigere","11"
"sintetico","40"
"sottile","13"
"oro","17"
"femminile","32"
"tessuto","55"
"poso","21"
"argento","12"
"paillettes","20"
"modella","19"
"moderno","45"
"grigio","14"
"motivo","14"
"alto","15"
"rosa","11"
"speciale","14"
"occasione","22"
"corto","14"
"nero","29"
"lunghezza","15"
"adatto","26"
"ginocchio","10"
"sera","26"
"creare","23"
"cintura","10"
"attuale","19"
"maniche","16"
"popolare","10"
"sofisticatezza","12"
"formale","21"
"evento","16"
"presenza","13"
"tendenza","29"
"asimmetrico","11"
"spalla","11"
"neutro","15"
"scelta","14"
"chic","11"
"occidentale","17"
"serata","13"
