"word_pair","count"
"abbigliamento, moda","35"
"abbigliamento, design","34"
"abito, moda","79"
"abito, design","75"
"aggiungere, moda","53"
"aggiungere, tocco","52"
"abito, ambiente","27"
"ambiente, moda","27"
"ampio, indossare","15"
"ampio, materiale","15"
"capo, moda","53"
"capo, design","52"
"colore, moda","67"
"abito, colore","64"
"cultura, materiale","19"
"cultura, elemento","18"
"abito, culturale","16"
"colore, culturale","16"
"decorativo, design","14"
"decorativo, indossare","14"
"descrivere, materiale","28"
"descrivere, donna","27"
"design, moda","81"
"dettaglio, moda","40"
"design, dettaglio","39"
"donna, moda","71"
"design, donna","68"
"dorato, materiale","12"
"design, dorato","11"
"elegante, moda","58"
"design, elegante","54"
"eleganza, moda","58"
"design, eleganza","55"
"elemento, moda","52"
"design, elemento","51"
"abito, etnico","26"
"design, etnico","26"
"indossare, moda","75"
"design, indossare","72"
"influenza, moda","34"
"design, influenza","32"
"ispirare, moda","54"
"design, ispirare","51"
"lungo, moda","38"
"lungo, materiale","37"
"abito, manica","34"
"design, manica","34"
"design, manico","31"
"manico, moda","31"
"materiale, moda","75"
"design, materiale","70"
"abito, radice","25"
"design, radice","25"
"abito, raffinatezza","23"
"design, raffinatezza","23"
"materiale, ricamo","18"
"ricamo, tradizione","18"
"moda, riflettere","54"
"design, riflettere","52"
"abito, scollatura","36"
"design, scollatura","35"
"abito, scuro","10"
"design, scuro","10"
"materiale, seta","32"
"moda, seta","32"
"moda, sofisticato","35"
"abito, sofisticato","34"
"moda, stile","45"
"donna, stile","44"
"materiale, storico","15"
"moda, storico","14"
"design, suggerire","28"
"moda, suggerire","27"
"design, taglio","27"
"indossare, taglio","26"
"moda, tocco","64"
"design, tocco","59"
"materiale, tradizionale","34"
"moda, tradizionale","33"
"design, tradizione","49"
"moda, tradizione","48"
"abito, verde","24"
"moda, verde","24"
"color, design","15"
"abito, color","14"
"indicare, materiale","10"
"colore, indicare","9"
"abito, luminoso","10"
"design, luminoso","10"
"abire, moda","58"
"abire, design","57"
"aria, conferire","13"
"aria, moda","13"
"bianco, moda","40"
"bianco, materiale","35"
"blu, moda","22"
"abito, blu","21"
"caratterizzare, design","12"
"caratterizzare, moda","12"
"classico, moda","30"
"classico, design","28"
"combinazione, design","22"
"combinazione, moda","21"
"conferire, moda","49"
"conferire, design","46"
"contemporaneo, moda","49"
"contemporaneo, design","44"
"contesto, moda","55"
"abito, contesto","52"
"design, estetica","13"
"estetica, moda","13"
"glamour, moda","29"
"glamour, indossare","27"
"globale, moda","58"
"design, globale","55"
"lusso, moda","22"
"eleganza, lusso","21"
"abito, ore lo","14"
"colore, ore lo","13"
"abito, orlo","12"
"colore, orlo","11"
"moda, presentare","15"
"design, presentare","14"
"moda, rappresentare","42"
"abito, rappresentare","39"
"materiale, tenere","10"
"eleganza, tenere","9"
"abire, cuore","13"
"abito, cuore","13"
"moda, romantico","14"
"abito, romantico","13"
"artigianale, design","11"
"artigianale, tradizione","11"
"cotone, materiale","24"
"cotone, donna","23"
"floreale, moda","24"
"abito, floreale","23"
"gonna, moda","20"
"donna, gonna","18"
"gusto, moda","11"
"abito, gusto","10"
"colore, indiano","10"
"indiano, materiale","10"
"moda, raffinato","24"
"eleganza, raffinato","21"
"abito, rosso","16"
"colore, rosso","16"
"design, tipico","33"
"moda, tipico","32"
"moda, utilizzato","13"
"abito, utilizzato","12"
"apprezzare, design","10"
"apprezzare, materiale","10"
"design, interno","16"
"donna, interno","16"
"eleganza, profondo","10"
"moda, profondo","10"
"associare, moda","20"
"abito, associare","19"
"look, moda","28"
"indossare, look","25"
"abito, simbolo","11"
"materiale, simbolo","11"
"abito, stampa","12"
"moda, stampa","12"
"moda, uso","15"
"design, uso","14"
"design, vintage","14"
"moda, vintage","14"
"moda, richiamare","42"
"donna, richiamare","39"
"aderente, design","26"
"aderente, moda","26"
"decorazione, moda","14"
"abito, decorazione","13"
"femminilità, moda","23"
"abito, femminilità","21"
"donna, interpretare","11"
"interpretare, moda","11"
"mix, moda","28"
"abito, mix","26"
"moda, modernità","18"
"donna, modernità","17"
"abito, seto","12"
"moda, seto","12"
"moda, sfondo","42"
"abito, sfondo","39"
"moda, vestito","19"
"abito, vestito","18"
"beigere, design","10"
"beigere, moda","10"
"femminile, moda","32"
"femminile, indossare","28"
"materiale, oro","17"
"moda, oro","17"
"moda, sintetico","39"
"indossare, sintetico","37"
"indossare, sottile","13"
"moda, sottile","13"
"moda, tessuto","54"
"design, tessuto","51"
"argento, design","12"
"argento, indossare","12"
"design, paillettes","19"
"moda, paillettes","19"
"moda, poso","20"
"colore, poso","18"
"abito, grigio","14"
"grigio, moda","14"
"moda, modella","19"
"abito, modella","18"
"moda, moderno","44"
"design, moderno","43"
"alto, donna","15"
"alto, moda","15"
"abito, motivo","14"
"moda, motivo","12"
"moda, occasione","22"
"design, occasione","21"
"abito, rosa","11"
"moda, rosa","11"
"design, speciale","14"
"moda, speciale","14"
"adatto, moda","26"
"adatto, indossare","25"
"corto, design","14"
"corto, moda","14"
"abito, ginocchio","10"
"colore, ginocchio","10"
"abito, lunghezza","15"
"lunghezza, moda","15"
"design, nero","29"
"moda, nero","29"
"attuale, moda","19"
"abito, attuale","18"
"cintura, colore","10"
"cintura, moda","10"
"creare, moda","22"
"creare, design","21"
"abire, sera","26"
"abito, sera","26"
"maniche, moda","16"
"abito, maniche","15"
"moda, popolare","10"
"abito, popolare","9"
"design, sofisticatezza","12"
"eleganza, sofisticatezza","12"
"design, evento","16"
"evento, moda","16"
"design, formale","21"
"formale, moda","21"
"abito, asimmetrico","11"
"asimmetrico, design","11"
"design, neutro","15"
"neutro, sfondo","15"
"design, presenza","13"
"materiale, presenza","13"
"moda, spalla","11"
"abito, spalla","10"
"moda, tendenza","28"
"materiale, tendenza","26"
"moda, scelta","14"
"donna, scelta","13"
"chic, moda","11"
"chic, tocco","11"
"design, occidentale","17"
"moda, occidentale","17"
"abire, serata","13"
"design, serata","13"
